Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Tu factura está disponible | Jugador: Phishing| Resultado: Incorrecto| Puntaje: 10
Gana un iPhone GRATIS ahora | Jugador: Seguro| Resultado: Incorrecto| Puntaje: 10
Tu cuenta será suspendida | Jugador: Phishing| Resultado: Correcto| Puntaje: 20
Gracias por tu compra reciente | Jugador: Seguro| Resultado: Correcto| Puntaje: 30
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Tu factura está disponible | Jugador: Seguro| Resultado: Correcto| Puntaje: 20
Gana un iPhone GRATIS ahora | Jugador: Phishing| Resultado: Correcto| Puntaje: 30
Tu cuenta será suspendida | Jugador: Phishing| Resultado: Correcto| Puntaje: 40
Gracias por tu compra reciente | Jugador: Seguro| Resultado: Correcto| Puntaje: 50
Hemos detectado actividad sospechosa | Jugador: Phishing| Resultado: Correcto| Puntaje: 60
Reclama tu premio antes de 24 horas | Jugador: Phishing| Resultado: Correcto| Puntaje: 70
Tu paquete será enviado mañana | Jugador: Seguro| Resultado: Correcto| Puntaje: 80
Verifica tu identidad en este enlace | Jugador: Phishing| Resultado: Correcto| Puntaje: 90
Transferencia bancaria recibida | Jugador: Seguro| Resultado: Correcto| Puntaje: 100
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Tu factura está disponible | Jugador: Seguro| Resultado: Correcto| Puntaje: 20
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Tu factura está disponible | Jugador: Phishing| Resultado: Incorrecto| Puntaje: 10
Gana un iPhone GRATIS ahora | Jugador: Seguro| Resultado: Incorrecto| Puntaje: 10
Tu cuenta será suspendida | Jugador: Seguro| Resultado: Incorrecto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Tu factura está disponible | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 10
Actualiza tu contraseña urgentemente | Jugador: Phishing| Resultado: Correcto| Puntaje: 2
Tu factura está disponible | Jugador: Seguro| Resultado: Correcto| Puntaje: 4
